image,text
data/raw/books/Screenshot (1250).png,سامنے کا منظر اس ننھی بچی کے دل کو چیر گیا تھا
data/raw/books/Screenshot (1253).png,مگر اس کی فریاد سننے والا کوئی نہ تھا
data/raw/books/Screenshot (1254).png,یہ سب اس کی وجہ سے ہوا تھا
data/raw/books/Screenshot (1255).png,کیونکہ تقریباً کلاسز ختم ہو چکی تھیں
data/raw/books/Screenshot (1257).png,مہرزلہ برلاس کا اسی شہر سے دم گھٹتا تھا
data/raw/books/Screenshot (1258).png,ادھیڑ عمر شخص جو کہ بادام خان اس کے دادا کا وفادار
data/raw/books/Screenshot (1259).png,مہرزلہ۔۔۔!!! کسی نے پیچھے سے آتے اسے جھنجھوڑا تھا
data/raw/books/Screenshot (1260).png,شام کے چار بج رہے تھے
data/raw/books/Screenshot (1261).png,اس کے چہرے پر بلا کی سختی تھی
data/raw/books/Screenshot (1262).png,اور پھر اس عقوبت خانے کی طرف واپسی کا سفر شروع ہو چکا
data/raw/newspaper/Screenshot (1242).png,بحیرہ عرب میں امریکی ہیلی کاپٹر حادثے کا شکار
data/raw/newspaper/Screenshot (1244).png,دوحہ میں امریکہ اور ایران کے درمیان بالواسطہ مذاکرات میں پیش رفت
data/raw/newspaper/Screenshot (1245).png,برطانیہ میں 26 سال بعد ایک ماہ کے دوران ڈیزل کی قیمت میں بڑی
data/raw/newspaper/Screenshot (1246).png,ہمیں تنگ کرنا اور ٹرمپ کے الفاظ دہرانا بند کریں
data/raw/newspaper/Screenshot (1247).png,صدر ٹرمپ کسی واضح مقصد کے بغیر ایران میں دوبارہ فوجی کارروائی
data/raw/newspaper/Screenshot (1249).png,یوکرین کے دارالحکومت کیئو میں روسی میزائل اور ڈرون حملہ، کم از کم 13 افراد ہلاک
data/raw/newspaper/Screenshot (1250)_2.png,پاکستان اور سعودی عرب کے درمیان سیکیورٹی کے شعبے میں مفاہمتی یادداشت پر دستخط
data/raw/newspaper/Screenshot (1251).png,پاکستان کے مختلف شہروں میں 48 گھنٹوں کے دوران تیز آندھی
data/raw/newspaper/Screenshot (1252).png,شہباز شریف علی خامنہ ای کی نماز جنازہ میں شرکت کریں گے
data/raw/newspaper/Screenshot (1253)_2.png,لاہور کے علاقے باغبانپورہ میں زیر تعمیر عمارت کی چھت گرنے سے 10 سالہ بچہ ہلاک ہو گیا جبکہ چار افراد زخمی ہو گئے۔
data/raw/synthetic/urdu_1.png,پاکستان زندہ باد
data/raw/synthetic/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/synthetic/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/synthetic/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/synthetic/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/synthetic/urdu_6.png,زندگی ایک خوبصورت سفر ہے
data/raw/synthetic/urdu_7.png,علم روشنی ہے
data/raw/synthetic/urdu_8.png,وقت سب سے قیمتی چیز ہے
data/raw/synthetic/urdu_9.png,صبر کامیابی کی علامت ہے
data/raw/synthetic/urdu_10.png,محبت ایک خوبصورت جذبہ ہے
data/raw/synthetic/urdu_11.png,دوستی زندگی کا حسن ہے
data/raw/synthetic/urdu_12.png,ماں کی دعا جنت ہے
data/raw/synthetic/urdu_13.png,کتاب بہترین دوست ہے
data/raw/synthetic/urdu_14.png,محنت کا پھل میٹھا ہوتا ہے
data/raw/synthetic/urdu_15.png,سچائی ہمیشہ کامیاب ہوتی ہے
data/raw/synthetic/urdu_16.png,حوصلہ کامیابی دیتا ہے
data/raw/synthetic/urdu_17.png,علم انسان کو بلند کرتا ہے
data/raw/synthetic/urdu_18.png,وقت ضائع نہ کرو
data/raw/synthetic/urdu_19.png,خوش رہو اور خوشیاں بانٹو
data/raw/synthetic/urdu_20.png,ہر مشکل کے بعد آسانی ہے
data/raw/signboards/13.jpg,النس الیکٹرک سٹور
data/raw/signboards/14.jpg,زمان اسٹیٹ اینڈ پراپرٹی ایجنسی
data/raw/signboards/15.jpg,زمان پراپرٹی ایڈوائزر
data/raw/signboards/16.jpg,ریحم بیوٹی سیلون اینڈ لیڈیز ٹیلرنگ
data/raw/signboards/17.jpg,زمان اسٹیٹ ایڈوائزر
data/raw/signboards/18.jpg,الیغروز پرنٹرز اینڈ پینا فلیکس
data/raw/signboards/19.jpg,حسنین ٹریڈرز اینڈ الیکٹرک سٹور
data/raw/signboards/20.jpg,چکی کے اسپیشل مصالحہ جات
data/raw/signboards/21.jpg,مدینہ چکن شاپ ہول سیل ڈیلر
data/raw/signboards/22.jpg,مدینہ چکن شاپ ہول سیل
data/raw/other/001_001_1.png,کون سوچ سکتا تھا کہ ہندوستان اکثریت اور انگریز حکمرانوں کی مشترکہ
data/raw/other/001_001_2.png,مخالفت کے باوجود معرض وجود میں اسلام ہے اور اسی نظریہ
data/raw/other/001_001_3.png,یہ اس ملک میں بسنے والے مختلف عناصر کا اتحاد ہے اور پاکستان کی
data/raw/other/001_001_4.png,بقا اسی نظریے حیات کے فروغ پر منحصر ہے ۔
data/raw/other/001_001_5.png,لیکن بدقسمتی سے پاکستان بننے کے بعد ہی اس کے اندر ایسے دشمن
data/raw/other/001_001_6.png,عناصر جو اس مملکت کے بنیادی نظریہ پر ایمان نہیں رکھتے تھے ۔ وہ
data/raw/other/001_001_7.png,پاکستان کے نظریے پاکستان کا مطلب کیا لا الہ الا اللہ میں رخنہ فارما
data/raw/other/001_001_8.png,کی طرح شامل ہو گئے جبکہ ایک دوسرا طبقہ نیمت آزادی کے پھل سمیٹنے
data/raw/other/001_002_1.png,میں مصروف ہو گیا بغیر اس کا انعام کئے کہ جس کا وہ پھل کھا رہا ہے
data/raw/other/001_002_2.png,اس کو پانی دینے اور مضبوط کرنے کی بھی اشد ضرورت ہے۔ پاکستان
data/raw/other/001_002_3.png,کے معرض وجود میں آنے سے پہلے مسلمانوں کے سیاسی دور کا آغاز
data/raw/other/001_002_4.png,کچھ حوصلہ افراد نہ تھا۔ رنجیت سنگھ تھا اسی نے اپنی ایک علیحدہ
data/raw/other/001_002_5.png,سکھ سلطنت قائم کی تھی۔ سکھ سلطنت میں بھارت پنجاب، پاکستانی
data/raw/other/001_002_6.png,پنجاب، کشمیر، صوبہ خیبر پختونخوا اور گلگت بلتستان شامل تھے مگر رنجیت
data/raw/other/001_002_7.png,سنگھ کے مرنے کے بعد انگریزوں نے اس سلطنت کو ہتھیا لیا۔ اس کے بعد
data/raw/other/001_002_8.png,ڈاکٹر علامہ اقبال کا بھی تاریخ پاکستان میں بڑا مثبت کردار تھا۔
data/raw/other/001_003_1.png,کیا پاکستانی سیاست میں نئی لہر میں لیڈرس کو لانا چاہتے ہے
data/raw/other/001_003_2.png,جو جوش خطابت میں عوام کو خواب دکھائے ، مسیحا بن کے نعرے بازی کرے،
data/raw/other/001_003_3.png,حریف سیاستدانوں پر کیچڑ اچھالے یا خوف طاری کرنے کی کوشش کرے،
data/raw/other/001_003_4.png,سیاسی جلسے میں بیروزگار نوجوانوں کو دہاڑی پر لے آئے ، زہریلے سانپ
data/raw/other/001_003_5.png,لئے نظر آئے۔ اپنی تقریر اپنے سلام سے شروع کروائے، سیاست میں کاروباری
data/raw/other/001_003_6.png,داؤ پیچ سکھائے ، ذاتی مفاد میں امریکہ کے سفارتخانے کے عقبی دروازے سے
data/raw/other/001_003_7.png,تشریف لے جائے، شاہراہِ دستور پر سفر کرے تو عام شہریوں کو دھکے پڑیں کیا
data/raw/other/001_003_8.png,دے، اپنے خاندان کو خوشگوار زندگی گزارنے کے لیے وطن سے باہر منتقل کر دے۔
data/raw/other/001_004_1.png,۱۹۴۷ سے قبل پاکستانی علاقہ مختلف بادشاہوں اور علاقائی طاقتوں
data/raw/other/001_004_2.png,کے زیر اثر رہا۔ یہ پاکستانی علاقہ پرانی تہذیب و تمدن کا گہوارہ رہا ہے
data/raw/other/001_004_3.png,۱۸۵۷ کی جنگ آزادی کے بعد مسلمانوں میں احساس محرومی وقت کے
data/raw/other/001_004_4.png,ساتھ ساتھ بڑھتا گیا۔ مسلمانوں کے حقوق کے تحفظ کیلئے ۱۹۰۶ میں
data/raw/other/001_004_5.png,آل انڈیا مسلم لیگ کا قیام وجود میں آیا۔ مسلم لیگ کے پلیٹ فارم سے
data/raw/other/001_004_6.png,سرعلامہ محمد اقبال نے ۱۹۳۰ میں علیحدہ ریاست کا خیال پیش
data/raw/other/001_004_7.png,کیا جو مسلمانوں کے حقوق کے تحفظ کے لیے ایک اہم قدم تھا۔ قائد اعظم
data/raw/other/001_004_8.png,نے قومی نظریہ ۲۳ مارچ ۱۹۴۰ کو قرار داد لاہور میں قائد اعظم محمد علی
data/raw/other/001_005_1.png,جناح نے پیش کیا ۔ بالا دو قومی نظریے کی بنیاد پر ۱۴ اگست ۱۹۴۷
data/raw/other/001_005_2.png,کو پاکستان معرض وجود میں آیا۔ ۱۴ مارچ ۱۹۴۹ کو پاکستان کے پہلے
data/raw/other/001_005_3.png,وزیر اعظم نے قانون ساز اسمبلی میں پاکستان کے پہلے آئین کی قرارداد پاس
data/raw/other/001_005_4.png,کی ۔ جس میں یو رپ کی طرز پر پاکستانی آئین سازی کی تجویز دی گئی
data/raw/other/001_005_5.png,اسلام کو نظریہ پاکستان کی بنیاد قرار دیا ۔ ۱۹۵۶ میں الیکشن کے عوامی مطالبے
data/raw/other/001_005_6.png,نے مقبولیت حاصل کی اور حسین سہروردی پہلے بنگالی وزیر اعظم منتخب
data/raw/other/001_005_7.png,ہوئے ۔ سکندر مرزا ۱۹۵۶ میں پہلے بنگالی صدر اور صدر پاکستان منتخب
data/raw/other/001_005_8.png,ہوئے ۔ صدر ایوب کے دور میں ۱۹۶۵ میں انڈیا کے ساتھ دوسری
data/raw/other/001_006_1.png,جنگ ہوئی۔ ۱۹۷۱ میں ہندوستان کے ساتھ تیسری جنگ خود بھی مجموعہ
data/raw/other/001_006_2.png,مشرقی پاکستان سے علیحدگی کی صورت میں ختم ہوئی۔ ۱۹۷۲ سے لیکر ۱۹۷۷
data/raw/other/001_006_3.png,تک جمہوری دور کا آغاز ذوالفقار علی بھٹو کی قیادت میں شروع ہوا ۔
data/raw/other/001_006_4.png,۱۹۷۹ میں جنرل ضیاء الحق نے اختیارات سے تجاوز کر کے جمہوری حکومت
data/raw/other/001_006_5.png,کو باہر دھکیل کر اقتدار پر قبضہ ہو گئے۔ ۱۹۸۸ میں ضیاء الحق کی وفات کے
data/raw/other/001_006_6.png,بعد جنرل الیکشن میں پاکستان پیپلز پارٹی نے کامیابی حاصل کی اور محترمہ
data/raw/other/001_006_7.png,بینظیر بھٹو ملک کی پہلی خاتون وزیر اعظم منتخب ہوئی۔ ۱۹۹۹ میں سیکر
data/raw/other/001_006_8.png,۲۰۰۸ تک پرویز مشرف کا دور رہا ، پھر پی پی پی آئی اور اب الٹی ۲۰۱۳
data/raw/other/002_001_1.png,کون سوچ سکتا تھا کہ ہندوستان اکثریت اور انگریز حکمرانوں کی مشترکہ
data/raw/other/002_001_2.png,مخالفت کے باوجود برصغیر کی ملت اسلامیہ دین اسلام کے اور اس نظریہ
